Year,Continent,WeightedObesity,Population,Obesity_count
2013,Africa,11.1,1107820078.0,122618538
2013,Asia,6.4,4280681350.0,276097487
2013,Europe,21.8,736612986.0,160486477
2013,North America,30.5,552267019.0,168410117
2013,Oceania,26.1,37654067.0,9828413
2013,South America,21.6,404317007.0,87152003
2014,Africa,11.4,1136956681.0,129577037
2014,Asia,6.7,4326022753.0,291861578
2014,Europe,22.2,738347510.0,163733642
2014,North America,31.1,557453247.0,173161380
2014,Oceania,26.7,38262477.0,10204997
2014,South America,22.0,408268225.0,89983672
2015,Africa,11.8,1166746464.0,138173315
2015,Asia,7.1,4370432506.0,310109680
2015,Europe,22.6,740023149.0,166968770
2015,North America,31.7,562542746.0,178267943
2015,Oceania,27.2,38886745.0,10578167
2015,South America,22.5,412155396.0,92811030
2016,Africa,12.2,1197171129.0,145924781
2016,Asia,7.4,4414466108.0,327196223
2016,Europe,23.0,741583823.0,170268436
2016,North America,32.3,567715582.0,183285775
2016,Oceania,27.8,39562517.0,10997693
2016,South America,23.0,415976030.0,95620379
